,successful_attacks,failed_attacks,skipped_attacks,original_accuracy,attack_accuracy_perc,attack_success_rate,avg_word_perturbed,avg_word_perturbed_perc,max_words_changed,avg_num_queries,avg_attack_time,avg_word_ranking_time,avg_transformation_time,avg_num_transformations,avg_constraints_time,avg_num_constraints,avg_batch_query_time,avg_num_batch_queries,avg_original_perplexity,avg_attack_perplexity,avg_sentence_bert_similarity,attack_contradiction_rate,attack_contradiction_rate_by_sentence
TextFoolerJin2019,917,15,68,93.2,1.5,98.39,229.21,8.76,136,604.85,16.61,3.25,0.147,22.836,"{'WordEmbeddingDistance': 0.0002, 'PartOfSpeech': 0.0065, 'UniversalSentenceEncoder': 0.0073}",62.451,0.38,32.247,41.48,63.0,0.928,0.033,0.437
BAEGarg2019,608,324,68,93.2,32.4,65.24,229.21,4.49,48,352.21,23.462,3.341,0.252,57.426,"{'PartOfSpeech': 0.0115, 'UniversalSentenceEncoder': 0.0102}",105.26,0.284,27.13,41.78,48.4,0.964,0.164,0.681
SynBA2022,864,68,68,93.2,6.8,92.7,229.21,4.95,83,191.14,7.686,0.087,0.191,17.715,"{'PartOfSpeech': 0.0073, 'WordEmbeddingDistance': 0.0001, 'BERT': 0.0481}",39.665,0.246,13.879,41.5,50.74,0.944,0.049,0.476
