w1,w2,w3,succ,fail,skip,attack_contradiction_rate,avg_sentence_bert_similarity,loss
0.22742380333453246,0.7390787667792275,0.03349742988624005,327.0,162.0,11.0,0.434,0.916,-0.4356339141104295
0.6294034172678403,0.11611370413612158,0.2544828785960381,399.0,90.0,11.0,0.509,0.923,-0.4071807300613497
0.06943559563492048,0.37992166749788253,0.550642736867197,396.0,93.0,11.0,0.52,0.921,-0.3945339877300614
0.23861469221763776,0.5430987102893149,0.21828659749304732,384.0,105.0,11.0,0.526,0.911,-0.37813301840490793
0.0036644340065155527,0.32862947741727244,0.6677060885762118,401.0,88.0,11.0,0.504,0.923,-0.41281822494887527
0.3221174581577527,0.43793732189981177,0.23994521994243553,381.0,108.0,11.0,0.514,0.915,-0.38947527607361965
0.10165144697702648,0.33887679285836403,0.5594717601646095,403.0,86.0,11.0,0.514,0.922,-0.4041247198364008
0.13038198959238875,0.5165696815103318,0.3530483288972795,389.0,100.0,11.0,0.496,0.919,-0.4120512556237219
0.3992511817075884,0.002531961428405556,0.5982168568640059,398.0,91.0,11.0,0.505,0.923,-0.410361482617587
0.11176307953663489,0.43360605874223923,0.4546308617211258,398.0,91.0,11.0,0.538,0.918,-0.37759248261758693
0.20331658978503336,0.36278193848485185,0.43390147173011473,395.0,94.0,11.0,0.539,0.918,-0.3751407402862985
0.008271679478853476,0.21588975124965862,0.7758385692714878,399.0,90.0,11.0,0.489,0.924,-0.4261517300613497
0.023023405266546438,0.6249394278454509,0.3520371668880026,384.0,105.0,11.0,0.508,0.912,-0.39502301840490794
0.30694752193949504,0.5361566691037294,0.15689580895677563,373.0,116.0,11.0,0.525,0.912,-0.3738952965235174
0.41657868256396463,0.06069831930034558,0.5227229981356898,398.0,91.0,11.0,0.5,0.923,-0.4149764826175869
0.20767586677842753,0.5997439145702952,0.1925802186512772,384.0,105.0,11.0,0.526,0.911,-0.37813301840490793
0.516305278148522,0.4312641940832381,0.05243052776823993,328.0,161.0,11.0,0.439,0.915,-0.4310041615541922
0.579286026811698,0.2011586616105744,0.2195553115777276,387.0,102.0,11.0,0.514,0.92,-0.39497276073619636
0.1978783378956472,0.3999267259250606,0.40219493617929214,397.0,92.0,11.0,0.542,0.918,-0.37340923517382413
0.39663291026749364,0.3194850222685156,0.28388206746399075,391.0,98.0,11.0,0.55,0.919,-0.36344775051124745
