w1,w2,w3,succ,fail,skip,attack_contradiction_rate,avg_sentence_bert_similarity,loss
0.8472344684338993,0.08161181381083583,0.07115371775526491,117.0,289.0,94.0,0.077,0.916,-0.7031034679802957
0.7980412627221434,0.046614752354108696,0.1553439849237479,287.0,119.0,94.0,0.143,0.907,-0.7186783103448275
0.480768553684726,0.2271111157701243,0.29212033054514974,298.0,108.0,94.0,0.164,0.9,-0.6991980295566502
0.0620750688652132,0.23689411361926724,0.7010308175155197,300.0,106.0,94.0,0.15,0.907,-0.7187332512315271
0.5770237361835003,0.0844891720585852,0.33848709175791447,303.0,103.0,94.0,0.149,0.905,-0.7194160837438424
0.18632975319243072,0.6414310960076893,0.17223915079988,278.0,128.0,94.0,0.176,0.903,-0.6810178128078819
0.41915558008919274,0.34908941477020383,0.23175500514060335,282.0,124.0,94.0,0.167,0.905,-0.6927812561576354
0.21451307294644475,0.47297856649096925,0.3125083605625859,288.0,118.0,94.0,0.177,0.903,-0.685040921182266
0.3108695432736917,0.5914745833023637,0.09765587342394459,211.0,195.0,94.0,0.118,0.892,-0.6906848866995073
0.529630358995381,0.2796800592289466,0.19068958177567227,282.0,124.0,94.0,0.152,0.907,-0.7080522561576355
0.9515801061418278,0.04600797395737782,0.0024119199007944492,18.0,388.0,94.0,0.111,0.954,-0.6569729950738916
0.3595550194333554,0.26830729011383314,0.37213769045281153,300.0,106.0,94.0,0.157,0.903,-0.7090122512315271
0.7925662757040038,0.14525547312369963,0.06217825117229652,192.0,214.0,94.0,0.109,0.9,-0.6964812807881774
0.5824781756587556,0.15810316116486178,0.25941866317638274,298.0,108.0,94.0,0.141,0.905,-0.7241930295566503
0.4187414194557712,0.2799635458059792,0.3012950347382496,294.0,112.0,94.0,0.17,0.901,-0.6926575862068965
0.31511841450405154,0.2523213779145933,0.43256020758135516,302.0,104.0,94.0,0.146,0.907,-0.723346472906404
0.6028937349708458,0.2121022583793519,0.18500400664980232,288.0,118.0,94.0,0.146,0.902,-0.712179921182266
0.7548894330520289,0.06698019191391648,0.17813037503405474,296.0,110.0,94.0,0.132,0.905,-0.7313528078817734
0.85943452366055,0.0006873971944166075,0.13987807914503336,254.0,152.0,94.0,0.142,0.906,-0.7024711527093597
0.6426300093349917,0.07945715157566849,0.27791283908933984,299.0,107.0,94.0,0.14,0.906,-0.7264506403940887
0.7254339435790536,0.10708495239779878,0.16748110402314775,290.0,116.0,94.0,0.128,0.905,-0.7320171428571428
0.7933389453346418,0.11641078657552974,0.09025026808982843,198.0,208.0,94.0,0.101,0.9,-0.7066369458128079
0.6657660797342707,0.17564807451628195,0.15858584574944748,278.0,128.0,94.0,0.137,0.904,-0.7170978128078819
0.6725014275475818,0.04550360129409579,0.28199497115832245,301.0,105.0,94.0,0.136,0.906,-0.7310598620689656
0.5428674127492096,0.16805041786796301,0.28908216938282755,299.0,107.0,94.0,0.147,0.906,-0.7201086403940886
0.7902674578065768,0.15332270082455096,0.056409841368872345,191.0,215.0,94.0,0.11,0.9,-0.6950886699507389
0.5290976338570862,0.2469933114532333,0.22390905468968067,292.0,114.0,94.0,0.161,0.903,-0.7014593645320197
0.8218469105220721,0.14823452765671324,0.029918561821214575,175.0,231.0,94.0,0.126,0.899,-0.6719328965517242
0.5107307629457101,0.2912804482682621,0.19798878878602785,281.0,125.0,94.0,0.157,0.905,-0.7013386453201971
0.6540329711389637,0.08088085356476292,0.26508617529627326,300.0,106.0,94.0,0.14,0.906,-0.726943251231527
0.7483338951875281,0.01317436863218903,0.23849173618028277,300.0,106.0,94.0,0.137,0.905,-0.7287982512315271
0.5156482794332877,0.13139816167024412,0.3529535588964682,301.0,105.0,94.0,0.15,0.906,-0.7183758620689655
0.7483506402173227,0.06343639729660315,0.18821296248607425,297.0,109.0,94.0,0.131,0.905,-0.7327504187192119
0.7826001356454926,0.0820192674930769,0.13538059686143056,250.0,156.0,94.0,0.14,0.908,-0.7040327093596059
0.6292072027616695,0.19663588755571476,0.17415690968261566,283.0,123.0,94.0,0.148,0.901,-0.7070608669950739
0.8260605943705533,0.0016585328223945874,0.1722808728070521,294.0,112.0,94.0,0.133,0.904,-0.7285955862068966
0.3719517199896275,0.05061126470480961,0.5774370153055629,305.0,101.0,94.0,0.151,0.907,-0.7202893054187193
0.6472518475676174,0.17948825552411599,0.1732598969082665,280.0,126.0,94.0,0.146,0.903,-0.7090930344827586
0.5484146833542504,0.23534355314278094,0.21624176350296884,291.0,115.0,94.0,0.165,0.902,-0.6965197536945813
0.3999744641861555,0.5259559035369084,0.07406963227693607,210.0,196.0,94.0,0.124,0.894,-0.6865922758620691
0.7895870032172048,0.13653179617486974,0.07388120060792552,192.0,214.0,94.0,0.109,0.9,-0.6964812807881774
0.6773986102118436,0.3045796835122418,0.018021706275914512,211.0,195.0,94.0,0.104,0.895,-0.7058608866995074
0.36515779477486454,0.3746091209458252,0.26023308427931013,280.0,126.0,94.0,0.154,0.906,-0.7044070344827587
0.7211791345194339,0.27849723314140223,0.0003236323391637842,208.0,198.0,94.0,0.115,0.893,-0.6927680541871921
0.5711737187455868,0.01626125529665669,0.4125650259577567,303.0,103.0,94.0,0.149,0.906,-0.7202670837438423
0.38282358848279613,0.31522746015372705,0.3019489513634769,293.0,113.0,94.0,0.167,0.902,-0.6957009753694581
0.48065001931079415,0.23989218924021488,0.279457791448991,291.0,115.0,94.0,0.155,0.901,-0.7046947536945813
0.388148456412218,0.5234289335006249,0.08842261008715706,210.0,196.0,94.0,0.124,0.893,-0.685716275862069
0.628311895055383,0.19431209288564497,0.17737601205897216,283.0,123.0,94.0,0.145,0.902,-0.7106188669950738
0.7358163914589456,0.05758963031692171,0.20659397822413267,298.0,108.0,94.0,0.131,0.905,-0.7332430295566503
0.3910272741831424,0.13106421067773752,0.47790851513911997,306.0,100.0,94.0,0.147,0.905,-0.7227039162561576
0.445599842827099,0.1395942300155877,0.4148059271573133,303.0,103.0,94.0,0.149,0.906,-0.7202670837438423
0.44183761260291826,0.15365603582894324,0.40450635156813847,302.0,104.0,94.0,0.149,0.906,-0.719774472906404
