,successful_attacks,failed_attacks,skipped_attacks,original_accuracy,attack_accuracy_perc,attack_success_rate,avg_word_perturbed,avg_word_perturbed_perc,max_words_changed,avg_num_queries,avg_attack_time,avg_word_ranking_time,avg_transformation_time,avg_num_transformations,avg_constraints_time,avg_num_constraints,avg_batch_query_time,avg_num_batch_queries,avg_original_perplexity,avg_attack_perplexity,avg_sentence_bert_similarity,attack_contradiction_rate,attack_contradiction_rate_by_sentence
no_l1,570,273,157,84.3,27.3,67.62,18.64,13.86,8,45.59,1.447,0.083,0.101,4.816,"{'PartOfSpeech': 0.0069, 'WordEmbeddingDistance': 0.0001, 'BERT': 0.0157}",10.055,0.191,4.211,72.47,113.04,0.901,0.119,0.126
no_l2,581,262,157,84.3,26.2,68.92,18.64,14.12,8,45.45,1.441,0.083,0.101,4.76,"{'PartOfSpeech': 0.007, 'WordEmbeddingDistance': 0.0001, 'BERT': 0.0157}",10.04,0.191,4.2,72.23,113.52,0.9,0.12,0.126
no_l3,378,465,157,84.3,46.5,44.84,18.64,14.32,7,19.74,1.18,0.083,0.101,7.064,"{'PartOfSpeech': 0.0058, 'WordEmbeddingDistance': 0.0011, 'BERT': 0.0072}",15.397,0.065,5.399,74.07,115.32,0.891,0.095,0.108
