,successful_attacks,failed_attacks,skipped_attacks,original_accuracy,attack_accuracy_perc,attack_success_rate,avg_word_perturbed,avg_word_perturbed_perc,max_words_changed,avg_num_queries,avg_attack_time,avg_word_ranking_time,avg_transformation_time,avg_num_transformations,avg_constraints_time,avg_num_constraints,avg_batch_query_time,avg_num_batch_queries,avg_original_perplexity,avg_attack_perplexity,avg_sentence_bert_similarity,attack_contradiction_rate,attack_contradiction_rate_by_sentence
TextFoolerJin2019,754,89,157,84.3,8.9,89.44,18.64,19.48,15,110.15,2.049,0.189,0.011,4.275,"{'WordEmbeddingDistance': 0.0002, 'PartOfSpeech': 0.0057, 'UniversalSentenceEncoder': 0.0058}",11.542,0.179,10.109,72.58,154.52,0.805,0.196,0.206
BAEGarg2019,522,321,157,84.3,32.1,61.92,18.64,15.07,9,56.77,1.578,0.189,0.073,6.075,"{'PartOfSpeech': 0.0111, 'UniversalSentenceEncoder': 0.0084}",12.091,0.149,6.256,76.96,99.91,0.776,0.536,0.552
SynBA2022,578,265,157,84.3,26.5,68.56,18.64,14.05,8,45.27,1.439,0.083,0.105,4.779,"{'PartOfSpeech': 0.0069, 'WordEmbeddingDistance': 0.0001, 'BERT': 0.0156}",10.06,0.19,4.209,72.05,112.08,0.901,0.123,0.128
